,team,home_game_count,away_team,away_game_count,home_goals,home_lost_goals,home_goals_per_game,away_lost_goals,away_goals,away_goals_per_game,total_goals,total_games,results,winning_rate
235,Saudi Arabia,358.0,Saudi Arabia,248.0,650.0,327.0,977.0,326.0,304.0,630.0,954.0,606.0,288.0,0.4752475247524752
56,China PR,324.0,China PR,249.0,687.0,306.0,993.0,315.0,329.0,644.0,1016.0,573.0,272.0,0.47469458987783597
102,German DR,132.0,German DR,166.0,254.0,125.0,379.0,236.0,252.0,488.0,506.0,298.0,140.0,0.4697986577181208
26,Belgium,309.0,Belgium,263.0,594.0,339.0,933.0,389.0,363.0,752.0,957.0,572.0,268.0,0.46853146853146854
178,Morocco,276.0,Morocco,250.0,475.0,179.0,654.0,263.0,262.0,525.0,737.0,526.0,244.0,0.46387832699619774
188,Nigeria,266.0,Nigeria,302.0,510.0,192.0,702.0,376.0,332.0,708.0,842.0,568.0,263.0,0.4630281690140845
174,Monaco,5.0,Monaco,8.0,8.0,2.0,10.0,50.0,9.0,59.0,17.0,13.0,6.0,0.46153846153846156
123,Hungary,323.0,Hungary,338.0,656.0,353.0,1009.0,528.0,532.0,1060.0,1188.0,661.0,303.0,0.4583963691376702
303,Zambia,296.0,Zambia,407.0,555.0,242.0,797.0,467.0,541.0,1008.0,1096.0,703.0,322.0,0.45803698435277385
306,Åland Islands,27.0,Åland Islands,19.0,47.0,41.0,88.0,34.0,26.0,60.0,73.0,46.0,21.0,0.45652173913043476
128,Iraq,269.0,Iraq,271.0,533.0,209.0,742.0,305.0,320.0,625.0,853.0,540.0,246.0,0.45555555555555555
282,Ukraine,127.0,Ukraine,133.0,199.0,95.0,294.0,154.0,159.0,313.0,358.0,260.0,118.0,0.45384615384615384
165,Martinique,144.0,Martinique,138.0,317.0,148.0,465.0,214.0,195.0,409.0,512.0,282.0,127.0,0.450354609929078
221,Romania,274.0,Romania,312.0,535.0,236.0,771.0,403.0,385.0,788.0,920.0,586.0,263.0,0.44880546075085326
238,Serbia,102.0,Serbia,167.0,187.0,87.0,274.0,198.0,222.0,420.0,409.0,269.0,120.0,0.44609665427509293
62,Corsica,8.0,Corsica,1.0,8.0,5.0,13.0,0.0,2.0,2.0,10.0,9.0,4.0,0.4444444444444444
49,Catalonia,24.0,Catalonia,3.0,46.0,34.0,80.0,3.0,4.0,7.0,50.0,27.0,12.0,0.4444444444444444
197,Occitania,9.0,Occitania,9.0,18.0,19.0,37.0,7.0,15.0,22.0,33.0,18.0,8.0,0.4444444444444444
41,Burma,217.0,Burma,124.0,430.0,243.0,673.0,260.0,142.0,402.0,572.0,341.0,151.0,0.44281524926686217
211,Poland,332.0,Poland,378.0,632.0,331.0,963.0,525.0,522.0,1047.0,1154.0,710.0,314.0,0.4422535211267606
93,Fiji,146.0,Fiji,75.0,405.0,204.0,609.0,157.0,118.0,275.0,523.0,221.0,97.0,0.43891402714932126
237,Senegal,216.0,Senegal,305.0,342.0,144.0,486.0,358.0,336.0,694.0,678.0,521.0,228.0,0.43761996161228406
231,Saint Vincent and the Grenadines,55.0,Saint Vincent and the Grenadines,78.0,106.0,62.0,168.0,122.0,127.0,249.0,233.0,133.0,58.0,0.43609022556390975
44,Cameroon,255.0,Cameroon,276.0,423.0,213.0,636.0,342.0,314.0,656.0,737.0,531.0,231.0,0.4350282485875706
287,Uzbekistan,116.0,Uzbekistan,152.0,233.0,81.0,314.0,238.0,204.0,442.0,437.0,268.0,116.0,0.43283582089552236
274,Trinidad and Tobago,275.0,Trinidad and Tobago,303.0,553.0,278.0,831.0,480.0,397.0,877.0,950.0,578.0,250.0,0.43252595155709345
258,Suriname,120.0,Suriname,169.0,295.0,148.0,443.0,267.0,251.0,518.0,546.0,289.0,125.0,0.43252595155709345
72,Czechoslovakia,156.0,Czechoslovakia,187.0,319.0,160.0,479.0,254.0,231.0,485.0,550.0,343.0,148.0,0.4314868804664723
75,Denmark,325.0,Denmark,317.0,609.0,374.0,983.0,470.0,419.0,889.0,1028.0,642.0,277.0,0.43146417445482865
292,Vietnam Republic,48.0,Vietnam Republic,105.0,95.0,59.0,154.0,206.0,186.0,392.0,281.0,153.0,66.0,0.43137254901960786
250,South Africa,220.0,South Africa,163.0,297.0,165.0,462.0,201.0,191.0,392.0,488.0,383.0,165.0,0.4308093994778068
285,United States,407.0,United States,244.0,665.0,414.0,1079.0,397.0,253.0,650.0,918.0,651.0,280.0,0.43010752688172044
0,Abkhazia,18.0,Abkhazia,10.0,36.0,11.0,47.0,13.0,12.0,25.0,48.0,28.0,12.0,0.42857142857142855
190,North Korea,124.0,North Korea,211.0,266.0,99.0,365.0,277.0,271.0,548.0,537.0,335.0,142.0,0.42388059701492536
247,Solomon Islands,76.0,Solomon Islands,94.0,219.0,125.0,344.0,222.0,164.0,386.0,383.0,170.0,72.0,0.4235294117647059
263,Sápmi,18.0,Sápmi,8.0,69.0,27.0,96.0,22.0,15.0,37.0,84.0,26.0,11.0,0.4230769230769231
286,Uruguay,259.0,Uruguay,406.0,449.0,230.0,679.0,564.0,540.0,1104.0,989.0,665.0,281.0,0.42255639097744363
236,Scotland,276.0,Scotland,286.0,437.0,271.0,708.0,421.0,345.0,766.0,782.0,562.0,237.0,0.42170818505338076
119,Haiti,198.0,Haiti,208.0,355.0,201.0,556.0,331.0,284.0,615.0,639.0,406.0,171.0,0.4211822660098522
245,Slovakia,124.0,Slovakia,147.0,219.0,122.0,341.0,196.0,177.0,373.0,396.0,271.0,114.0,0.42066420664206644
4,Algeria,286.0,Algeria,211.0,508.0,247.0,755.0,268.0,185.0,453.0,693.0,497.0,209.0,0.42052313883299797
185,New Zealand,127.0,New Zealand,209.0,310.0,115.0,425.0,351.0,268.0,619.0,578.0,336.0,141.0,0.41964285714285715
145,Kuwait,319.0,Kuwait,231.0,543.0,300.0,843.0,295.0,298.0,593.0,841.0,550.0,230.0,0.41818181818181815
205,Panjab,4.0,Panjab,8.0,12.0,5.0,17.0,11.0,19.0,30.0,31.0,12.0,5.0,0.4166666666666667
63,Costa Rica,284.0,Costa Rica,290.0,559.0,225.0,784.0,444.0,323.0,767.0,882.0,574.0,239.0,0.4163763066202091
275,Tunisia,295.0,Tunisia,278.0,508.0,247.0,755.0,365.0,312.0,677.0,820.0,573.0,237.0,0.41361256544502617
305,Zimbabwe,184.0,Zimbabwe,260.0,289.0,166.0,455.0,341.0,314.0,655.0,603.0,444.0,183.0,0.41216216216216217
83,Ellan Vannin,8.0,Ellan Vannin,9.0,18.0,11.0,29.0,13.0,12.0,25.0,30.0,17.0,7.0,0.4117647058823529
281,Uganda,273.0,Uganda,317.0,491.0,244.0,735.0,440.0,359.0,799.0,850.0,590.0,242.0,0.4101694915254237
144,Kosovo,20.0,Kosovo,12.0,35.0,34.0,69.0,13.0,16.0,29.0,51.0,32.0,13.0,0.40625
215,Qatar,305.0,Qatar,212.0,505.0,305.0,810.0,302.0,229.0,531.0,734.0,517.0,210.0,0.40618955512572535
121,Honduras,262.0,Honduras,238.0,419.0,241.0,660.0,369.0,305.0,674.0,724.0,500.0,202.0,0.404
58,Colombia,246.0,Colombia,274.0,358.0,222.0,580.0,343.0,292.0,635.0,650.0,520.0,210.0,0.40384615384615385
228,Saint Kitts and Nevis,95.0,Saint Kitts and Nevis,71.0,203.0,114.0,317.0,142.0,83.0,225.0,286.0,166.0,67.0,0.4036144578313253
291,Vietnam,115.0,Vietnam,81.0,226.0,141.0,367.0,148.0,105.0,253.0,331.0,196.0,79.0,0.4030612244897959
55,Chile,336.0,Chile,329.0,635.0,374.0,1009.0,507.0,318.0,825.0,953.0,665.0,267.0,0.40150375939849625
111,Guadeloupe,116.0,Guadeloupe,106.0,222.0,146.0,368.0,180.0,140.0,320.0,362.0,222.0,89.0,0.4009009009009009
54,Chameria,1.0,Chameria,4.0,4.0,0.0,4.0,4.0,5.0,9.0,9.0,5.0,2.0,0.4
166,Matabeleland,2.0,Matabeleland,3.0,1.0,0.0,1.0,12.0,4.0,16.0,5.0,5.0,2.0,0.4
249,Somaliland,2.0,Somaliland,3.0,7.0,5.0,12.0,13.0,5.0,18.0,12.0,5.0,2.0,0.4
297,Western Sahara,3.0,Western Sahara,2.0,10.0,7.0,17.0,9.0,1.0,10.0,11.0,5.0,2.0,0.4
