,team,home_game_count,away_team,away_game_count,home_goals,home_lost_goals,home_goals_per_game,away_lost_goals,away_goals,away_goals_per_game,total_goals,total_games,results,winning_rate
213,Provence,8.0,Provence,7.0,12.0,29.0,41.0,17.0,26.0,43.0,38.0,15.0,4.0,0.26666666666666666
175,Mongolia,22.0,Mongolia,42.0,43.0,39.0,82.0,136.0,47.0,183.0,90.0,64.0,17.0,0.265625
116,Guinea-Bissau,72.0,Guinea-Bissau,69.0,87.0,95.0,182.0,125.0,48.0,173.0,135.0,141.0,37.0,0.2624113475177305
94,Finland,255.0,Finland,342.0,323.0,428.0,751.0,674.0,316.0,990.0,639.0,597.0,156.0,0.2613065326633166
262,Székely Land,9.0,Székely Land,14.0,25.0,17.0,42.0,34.0,17.0,51.0,42.0,23.0,6.0,0.2608695652173913
168,Mauritius,101.0,Mauritius,137.0,166.0,153.0,319.0,254.0,119.0,373.0,285.0,238.0,62.0,0.2605042016806723
57,Chinese Taipei,18.0,Chinese Taipei,125.0,31.0,20.0,51.0,354.0,156.0,510.0,187.0,143.0,37.0,0.25874125874125875
149,Latvia,135.0,Latvia,150.0,145.0,181.0,326.0,246.0,140.0,386.0,285.0,285.0,73.0,0.256140350877193
181,Namibia,102.0,Namibia,118.0,134.0,111.0,245.0,214.0,88.0,302.0,222.0,220.0,56.0,0.2545454545454545
87,Estonia,176.0,Estonia,176.0,177.0,239.0,416.0,345.0,131.0,476.0,308.0,352.0,89.0,0.2528409090909091
2,Albania,164.0,Albania,147.0,175.0,180.0,355.0,309.0,102.0,411.0,277.0,311.0,78.0,0.2508038585209003
22,Barawa,11.0,Barawa,1.0,16.0,41.0,57.0,5.0,0.0,5.0,16.0,12.0,3.0,0.25
68,Curacao,1.0,Curacao,3.0,0.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,0.25
273,Tonga,23.0,Tonga,33.0,33.0,66.0,99.0,141.0,34.0,175.0,67.0,56.0,14.0,0.25
13,Armenia,101.0,Armenia,103.0,113.0,148.0,261.0,199.0,92.0,291.0,205.0,204.0,50.0,0.24509803921568626
140,Kazakhstan,91.0,Kazakhstan,101.0,120.0,118.0,238.0,200.0,82.0,282.0,202.0,192.0,47.0,0.24479166666666666
112,Guam,42.0,Guam,49.0,67.0,183.0,250.0,272.0,48.0,320.0,115.0,91.0,22.0,0.24175824175824176
199,Orkney,12.0,Orkney,9.0,15.0,30.0,45.0,42.0,8.0,50.0,23.0,21.0,5.0,0.23809523809523808
290,Venezuela,161.0,Venezuela,210.0,200.0,253.0,453.0,471.0,171.0,642.0,371.0,371.0,88.0,0.2371967654986523
100,Gambia,119.0,Gambia,88.0,130.0,130.0,260.0,165.0,60.0,225.0,190.0,207.0,49.0,0.23671497584541062
21,Bangladesh,111.0,Bangladesh,89.0,117.0,201.0,318.0,209.0,56.0,265.0,173.0,200.0,47.0,0.235
187,Niger,90.0,Niger,107.0,110.0,115.0,225.0,216.0,75.0,291.0,185.0,197.0,46.0,0.233502538071066
85,Equatorial Guinea,62.0,Equatorial Guinea,58.0,69.0,65.0,134.0,130.0,27.0,157.0,96.0,120.0,27.0,0.225
52,Chad,55.0,Chad,52.0,66.0,76.0,142.0,109.0,33.0,142.0,99.0,107.0,24.0,0.22429906542056074
31,Bolivia,207.0,Bolivia,210.0,292.0,300.0,592.0,442.0,134.0,576.0,426.0,417.0,93.0,0.22302158273381295
28,Benin,127.0,Benin,125.0,154.0,181.0,335.0,286.0,104.0,390.0,258.0,252.0,56.0,0.2222222222222222
77,Dominica,86.0,Dominica,79.0,113.0,167.0,280.0,173.0,80.0,253.0,193.0,165.0,36.0,0.21818181818181817
182,Nepal,85.0,Nepal,88.0,95.0,137.0,232.0,277.0,50.0,327.0,145.0,173.0,37.0,0.2138728323699422
43,Cambodia,121.0,Cambodia,96.0,176.0,236.0,412.0,326.0,70.0,396.0,246.0,217.0,46.0,0.2119815668202765
120,Hitra,8.0,Hitra,11.0,12.0,30.0,42.0,52.0,12.0,64.0,24.0,19.0,4.0,0.21052631578947367
61,Cook Islands,17.0,Cook Islands,26.0,22.0,88.0,110.0,143.0,16.0,159.0,38.0,43.0,9.0,0.20930232558139536
294,Wallis Islands and Futuna,3.0,Wallis Islands and Futuna,21.0,8.0,6.0,14.0,103.0,15.0,118.0,23.0,24.0,5.0,0.20833333333333334
299,Yemen DPR,2.0,Yemen DPR,22.0,3.0,4.0,7.0,64.0,22.0,86.0,25.0,24.0,5.0,0.20833333333333334
88,Eswatini,111.0,Eswatini,111.0,103.0,151.0,254.0,227.0,80.0,307.0,183.0,222.0,46.0,0.2072072072072072
90,Falkland Islands,11.0,Falkland Islands,18.0,14.0,45.0,59.0,63.0,14.0,77.0,28.0,29.0,6.0,0.20689655172413793
255,Sri Lanka,87.0,Sri Lanka,105.0,122.0,169.0,291.0,294.0,74.0,368.0,196.0,192.0,39.0,0.203125
304,Zanzibar,57.0,Zanzibar,145.0,61.0,97.0,158.0,328.0,122.0,450.0,183.0,202.0,41.0,0.20297029702970298
201,Pakistan,73.0,Pakistan,115.0,94.0,165.0,259.0,279.0,83.0,362.0,177.0,188.0,38.0,0.20212765957446807
298,Yemen,97.0,Yemen,121.0,122.0,145.0,267.0,348.0,87.0,435.0,209.0,218.0,44.0,0.2018348623853211
97,Frøya,12.0,Frøya,18.0,29.0,35.0,64.0,82.0,24.0,106.0,53.0,30.0,6.0,0.2
173,Moldova,95.0,Moldova,132.0,93.0,131.0,224.0,236.0,95.0,331.0,188.0,227.0,45.0,0.19823788546255505
214,Puerto Rico,47.0,Puerto Rico,54.0,73.0,85.0,158.0,144.0,37.0,181.0,110.0,101.0,20.0,0.19801980198019803
51,Central African Republic,51.0,Central African Republic,40.0,69.0,77.0,146.0,104.0,28.0,132.0,97.0,91.0,18.0,0.1978021978021978
27,Belize,27.0,Belize,40.0,37.0,47.0,84.0,99.0,32.0,131.0,69.0,67.0,13.0,0.19402985074626866
36,British Virgin Islands,35.0,British Virgin Islands,48.0,46.0,76.0,122.0,186.0,25.0,211.0,71.0,83.0,16.0,0.1927710843373494
148,Laos,72.0,Laos,89.0,104.0,172.0,276.0,342.0,65.0,407.0,169.0,161.0,31.0,0.19254658385093168
18,Azerbaijan,115.0,Azerbaijan,124.0,104.0,133.0,237.0,267.0,72.0,339.0,176.0,239.0,46.0,0.19246861924686193
70,Cyprus,200.0,Cyprus,155.0,223.0,338.0,561.0,443.0,87.0,530.0,310.0,355.0,67.0,0.18873239436619718
50,Cayman Islands,50.0,Cayman Islands,31.0,60.0,113.0,173.0,93.0,24.0,117.0,84.0,81.0,15.0,0.18518518518518517
284,United Koreans in Japan,8.0,United Koreans in Japan,3.0,9.0,7.0,16.0,4.0,2.0,6.0,11.0,11.0,2.0,0.18181818181818182
151,Lesotho,125.0,Lesotho,114.0,111.0,152.0,263.0,226.0,80.0,306.0,191.0,239.0,43.0,0.1799163179916318
91,Faroe Islands,111.0,Faroe Islands,107.0,120.0,238.0,358.0,295.0,61.0,356.0,181.0,218.0,39.0,0.17889908256880735
167,Mauritania,84.0,Mauritania,119.0,68.0,97.0,165.0,230.0,82.0,312.0,150.0,203.0,35.0,0.1724137931034483
253,South Sudan,18.0,South Sudan,17.0,19.0,20.0,39.0,51.0,7.0,58.0,26.0,35.0,6.0,0.17142857142857143
15,Aruba,35.0,Aruba,36.0,54.0,73.0,127.0,109.0,36.0,145.0,90.0,71.0,12.0,0.16901408450704225
139,Kabylia,1.0,Kabylia,5.0,0.0,2.0,2.0,13.0,8.0,21.0,8.0,6.0,1.0,0.16666666666666666
107,Gozo,3.0,Gozo,3.0,3.0,8.0,11.0,12.0,4.0,16.0,7.0,6.0,1.0,0.16666666666666666
169,Mayotte,6.0,Mayotte,12.0,15.0,15.0,30.0,22.0,14.0,36.0,29.0,18.0,3.0,0.16666666666666666
186,Nicaragua,39.0,Nicaragua,88.0,49.0,72.0,121.0,249.0,52.0,301.0,101.0,127.0,21.0,0.16535433070866143
157,Macau,60.0,Macau,65.0,63.0,164.0,227.0,212.0,42.0,254.0,105.0,125.0,20.0,0.16
278,Turks and Caicos Islands,5.0,Turks and Caicos Islands,14.0,4.0,16.0,20.0,52.0,7.0,59.0,11.0,19.0,3.0,0.15789473684210525
3,Alderney,7.0,Alderney,12.0,5.0,27.0,32.0,48.0,10.0,58.0,15.0,19.0,3.0,0.15789473684210525
86,Eritrea,25.0,Eritrea,45.0,15.0,26.0,41.0,96.0,32.0,128.0,47.0,70.0,11.0,0.15714285714285714
264,São Tomé and Príncipe,18.0,São Tomé and Príncipe,22.0,17.0,31.0,48.0,70.0,13.0,83.0,30.0,40.0,6.0,0.15
279,Tuvalu,11.0,Tuvalu,23.0,16.0,35.0,51.0,162.0,19.0,181.0,35.0,34.0,5.0,0.14705882352941177
172,Micronesia,2.0,Micronesia,5.0,7.0,18.0,25.0,41.0,1.0,42.0,8.0,7.0,1.0,0.14285714285714285
225,Saare County,15.0,Saare County,20.0,22.0,37.0,59.0,52.0,19.0,71.0,41.0,35.0,5.0,0.14285714285714285
271,Timor-Leste,3.0,Timor-Leste,4.0,5.0,11.0,16.0,12.0,4.0,16.0,9.0,7.0,1.0,0.14285714285714285
177,Montserrat,10.0,Montserrat,20.0,15.0,43.0,58.0,89.0,16.0,105.0,31.0,30.0,4.0,0.13333333333333333
59,Comoros,26.0,Comoros,27.0,16.0,29.0,45.0,53.0,20.0,73.0,36.0,53.0,7.0,0.1320754716981132
38,Brunei,25.0,Brunei,46.0,22.0,78.0,100.0,174.0,31.0,205.0,53.0,71.0,9.0,0.1267605633802817
216,Raetia,2.0,Raetia,6.0,1.0,6.0,7.0,30.0,3.0,33.0,4.0,8.0,1.0,0.125
164,Malta,217.0,Malta,174.0,170.0,388.0,558.0,513.0,70.0,583.0,240.0,391.0,47.0,0.12020460358056266
239,Seychelles,49.0,Seychelles,60.0,41.0,86.0,127.0,146.0,34.0,180.0,75.0,109.0,13.0,0.11926605504587157
280,U.S. Virgin Islands,17.0,U.S. Virgin Islands,27.0,10.0,67.0,77.0,145.0,13.0,158.0,23.0,44.0,5.0,0.11363636363636363
226,Saarland,6.0,Saarland,3.0,5.0,18.0,23.0,8.0,5.0,13.0,10.0,9.0,1.0,0.1111111111111111
5,American Samoa,24.0,American Samoa,24.0,24.0,140.0,164.0,166.0,12.0,178.0,36.0,48.0,5.0,0.10416666666666667
53,Chagos Islands,5.0,Chagos Islands,6.0,7.0,28.0,35.0,36.0,9.0,45.0,16.0,11.0,1.0,0.09090909090909091
30,Bhutan,26.0,Bhutan,51.0,27.0,79.0,106.0,233.0,19.0,252.0,46.0,77.0,7.0,0.09090909090909091
248,Somalia,42.0,Somalia,61.0,25.0,106.0,131.0,181.0,27.0,208.0,52.0,103.0,9.0,0.08737864077669903
195,Northern Mariana Islands,10.0,Northern Mariana Islands,14.0,11.0,38.0,49.0,69.0,7.0,76.0,18.0,24.0,2.0,0.08333333333333333
156,Luxembourg,200.0,Luxembourg,165.0,120.0,445.0,565.0,513.0,74.0,587.0,194.0,365.0,29.0,0.07945205479452055
79,East Timor,15.0,East Timor,36.0,14.0,50.0,64.0,123.0,28.0,151.0,42.0,51.0,4.0,0.0784313725490196
154,Liechtenstein,93.0,Liechtenstein,99.0,46.0,230.0,276.0,317.0,39.0,356.0,85.0,192.0,15.0,0.078125
9,Anguilla,17.0,Anguilla,35.0,12.0,40.0,52.0,163.0,22.0,185.0,34.0,52.0,3.0,0.057692307692307696
76,Djibouti,36.0,Djibouti,43.0,26.0,113.0,139.0,199.0,26.0,225.0,52.0,79.0,3.0,0.0379746835443038
7,Andorra,81.0,Andorra,77.0,26.0,176.0,202.0,240.0,16.0,256.0,42.0,158.0,5.0,0.03164556962025317
233,San Marino,79.0,San Marino,78.0,14.0,272.0,286.0,407.0,9.0,416.0,23.0,157.0,1.0,0.006369426751592357
46,Canary Islands,4.0,,,11.0,3.0,14.0,,,,,,3.0,
74,Darfur,4.0,Darfur,3.0,0.0,69.0,69.0,30.0,1.0,31.0,1.0,7.0,,
99,Galicia,5.0,,,9.0,7.0,16.0,,,,,,2.0,
118,Găgăuzia,3.0,,,2.0,9.0,11.0,,,,,,,
143,Kiribati,5.0,Kiribati,6.0,5.0,68.0,73.0,58.0,2.0,60.0,7.0,11.0,,
159,Madrid,1.0,,,1.0,2.0,3.0,,,,,,,
189,Niue,2.0,,,0.0,33.0,33.0,,,,,,,
202,Palau,2.0,,,4.0,21.0,25.0,,,,,,,
218,Republic of St. Pauli,4.0,,,10.0,5.0,15.0,,,,,,1.0,
227,Saint Helena,1.0,Saint Helena,3.0,1.0,6.0,7.0,18.0,3.0,21.0,4.0,4.0,,
234,Sark,1.0,Sark,3.0,0.0,20.0,20.0,50.0,0.0,50.0,0.0,4.0,,
242,Silesia,5.0,,,18.0,10.0,28.0,,,,,,2.0,
256,St. Pierre & Miquelon,1.0,St. Pierre & Miquelon,6.0,1.0,16.0,17.0,62.0,1.0,63.0,2.0,7.0,,
270,Tibet,4.0,Tibet,9.0,2.0,13.0,15.0,42.0,4.0,46.0,6.0,13.0,,
289,Vatican City,2.0,Vatican City,5.0,0.0,2.0,2.0,15.0,2.0,17.0,2.0,7.0,,
307,,,Surrey,1.0,,,,1.0,3.0,4.0,,,,
308,,,Two Sicilies,4.0,,,,8.0,2.0,10.0,,,,
309,,,Western Australia,29.0,,,,69.0,55.0,124.0,,,,
310,Tie,,,,,,,,,,,,8911.0,
311,Western Australia,,,,,,,,,,,,9.0,
312,Two Sicilies,,,,,,,,,,,,1.0,
313,Surrey,,,,,,,,,,,,1.0,
